Date/Time,Count
09/24/2014 06:00,1391
09/24/2014 07:00,1707
09/24/2014 08:00,1515
09/24/2014 09:00,1227
09/24/2014 10:00,1148
09/24/2014 11:00,1216
09/24/2014 12:00,1093
09/24/2014 13:00,1319
09/24/2014 14:00,1627
09/24/2014 15:00,1886
09/24/2014 16:00,2076
09/24/2014 17:00,2253
09/24/2014 18:00,2236
09/24/2014 19:00,1969
09/24/2014 20:00,1961
09/24/2014 21:00,1781
09/24/2014 22:00,1313
09/24/2014 23:00,740
09/25/2014 00:00,376
09/25/2014 01:00,230
09/25/2014 02:00,177
09/25/2014 03:00,279
09/25/2014 04:00,424
09/25/2014 05:00,800
09/25/2014 06:00,1715
09/25/2014 07:00,2530
09/25/2014 08:00,2280
09/25/2014 09:00,2100
09/25/2014 10:00,1709
09/25/2014 11:00,1647
09/25/2014 12:00,1556
09/25/2014 13:00,1604
09/25/2014 14:00,1745
09/25/2014 15:00,2034
09/25/2014 16:00,2379
09/25/2014 17:00,2544
09/25/2014 18:00,2476
09/25/2014 19:00,2187
09/25/2014 20:00,2001
09/25/2014 21:00,2050
09/25/2014 22:00,1663
09/25/2014 23:00,1028
09/26/2014 00:00,583
09/26/2014 01:00,339
09/26/2014 02:00,231
09/26/2014 03:00,327
09/26/2014 04:00,387
09/26/2014 05:00,670
09/26/2014 06:00,1147
09/26/2014 07:00,1501
09/26/2014 08:00,1326
09/26/2014 09:00,1206
09/26/2014 10:00,1174
09/26/2014 11:00,1178
09/26/2014 12:00,1229
09/26/2014 13:00,1371
09/26/2014 14:00,1703
09/26/2014 15:00,2003
09/26/2014 16:00,2256
09/26/2014 17:00,2566
09/26/2014 18:00,2989
09/26/2014 19:00,2728
09/26/2014 20:00,2397
09/26/2014 21:00,2630
09/26/2014 22:00,2473
09/26/2014 23:00,2294
09/27/2014 00:00,1619
09/27/2014 01:00,1169
09/27/2014 02:00,725
09/27/2014 03:00,507
09/27/2014 04:00,350
09/27/2014 05:00,416
09/27/2014 06:00,505
09/27/2014 07:00,655
09/27/2014 08:00,839
09/27/2014 09:00,1068
09/27/2014 10:00,1238
09/27/2014 11:00,1392
09/27/2014 12:00,1418
09/27/2014 13:00,1653
09/27/2014 14:00,1833
09/27/2014 15:00,2156
09/27/2014 16:00,2368
09/27/2014 17:00,2463
09/27/2014 18:00,2711
09/27/2014 19:00,2598
09/27/2014 20:00,2290
09/27/2014 21:00,2762
09/27/2014 22:00,2802
09/27/2014 23:00,2590
09/28/2014 00:00,1981
09/28/2014 01:00,1339
09/28/2014 02:00,952
09/28/2014 03:00,632
09/28/2014 05:00,460
09/28/2014 06:00,428
09/28/2014 07:00,571
09/28/2014 08:00,773
09/28/2014 09:00,954
09/28/2014 10:00,1175
09/28/2014 11:00,1446
09/28/2014 12:00,1431
09/28/2014 13:00,1559
09/28/2014 14:00,1720
09/28/2014 15:00,1773
09/28/2014 16:00,1885
09/28/2014 17:00,1771
09/28/2014 18:00,1759
09/28/2014 19:00,1526
09/28/2014 20:00,1384
09/28/2014 21:00,1226
09/28/2014 22:00,992
09/28/2014 23:00,616
09/29/2014 00:00,322
09/29/2014 01:00,170
09/29/2014 02:00,147
09/29/2014 03:00,369
09/29/2014 04:00,572
09/29/2014 05:00,861
09/29/2014 06:00,1361
09/29/2014 07:00,1721
09/29/2014 08:00,1670
09/29/2014 09:00,1389
09/29/2014 10:00,1097
09/29/2014 11:00,1112
09/29/2014 12:00,1071
09/29/2014 13:00,1276
09/29/2014 14:00,1451
09/29/2014 15:00,1669
09/29/2014 16:00,1848
09/29/2014 17:00,1928
09/29/2014 18:00,2034
09/29/2014 19:00,1769
09/29/2014 20:00,1696
09/29/2014 21:00,1477
09/29/2014 22:00,1093
09/29/2014 23:00,593
09/30/2014 00:00,283
09/30/2014 01:00,161
09/30/2014 02:00,122
09/30/2014 03:00,232
09/30/2014 04:00,409
09/30/2014 05:00,845
09/30/2014 06:00,1561
09/30/2014 07:00,1995
09/30/2014 08:00,1845
09/30/2014 09:00,1257
09/30/2014 10:00,1172
09/30/2014 11:00,1183
09/30/2014 12:00,1146
09/30/2014 13:00,1496
09/30/2014 14:00,1675
09/30/2014 15:00,2096
09/30/2014 16:00,2343
09/30/2014 17:00,2643
09/30/2014 18:00,2597
09/30/2014 19:00,2374
09/30/2014 20:00,2206
09/30/2014 21:00,1922
09/30/2014 22:00,1316
09/02/2014 02:00,83
09/28/2014 04:00,400
